the green room until the first floor	( green_room ) U ( first_floor )
landmark one until the red room	( landmark_1 ) U ( red_room )
the first floor until the green room	( first_floor ) U ( green_room )
the red room until the green room	( red_room ) U ( green_room )
the green room until landmark one	( green_room ) U ( landmark_1 )
landmark one until the green room	( landmark_1 ) U ( green_room )
the first floor until the red room	( first_floor ) U ( red_room )
the first floor until landmark one	( first_floor ) U ( landmark_1 )
always the green room	G ( green_room )
landmark one until the first floor	( landmark_1 ) U ( first_floor )
the red room until the red room	( red_room ) U ( red_room )
the first floor until the first floor	( first_floor ) U ( first_floor )
always landmark one	G ( landmark_1 )
eventually landmark one	F ( landmark_1 )
always the first floor	G ( first_floor )
eventually the red room	F ( red_room )
the green room until the red room	( green_room ) U ( red_room )
eventually the first floor	F ( first_floor )
the red room until the first floor	( red_room ) U ( first_floor )
eventually the green room	F ( green_room )
the green room until the green room	( green_room ) U ( green_room )
landmark one until landmark one	( landmark_1 ) U ( landmark_1 )
the red room until landmark one	( red_room ) U ( landmark_1 )
always the red room	G ( red_room )
eventually not the red room	F ( ~ ( red_room ) )
eventually not the green room	F ( ~ ( green_room ) )
eventually not landmark one	F ( ~ ( landmark_1 ) )
eventually not the first floor	F ( ~ ( first_floor ) )
eventually always the first floor	F ( G ( first_floor ) )
eventually always landmark one	F ( G ( landmark_1 ) )
eventually always the green room	F ( G ( green_room ) )
eventually always the red room	F ( G ( red_room ) )
eventually the green room and landmark one	F ( ( green_room ) & ( landmark_1 ) )
eventually the red room and the first floor	F ( ( red_room ) & ( first_floor ) )
eventually the first floor and landmark one	F ( ( first_floor ) & ( landmark_1 ) )
eventually the red room and the green room	F ( ( red_room ) & ( green_room ) )
eventually the first floor and the first floor	F ( ( first_floor ) & ( first_floor ) )
eventually landmark one and the green room	F ( ( landmark_1 ) & ( green_room ) )
eventually landmark one and landmark one	F ( ( landmark_1 ) & ( landmark_1 ) )
eventually the red room and landmark one	F ( ( red_room ) & ( landmark_1 ) )
eventually landmark one and the red room	F ( ( landmark_1 ) & ( red_room ) )
eventually the first floor and the green room	F ( ( first_floor ) & ( green_room ) )
eventually the first floor and the red room	F ( ( first_floor ) & ( red_room ) )
eventually the green room and the green room	F ( ( green_room ) & ( green_room ) )
eventually landmark one and the first floor	F ( ( landmark_1 ) & ( first_floor ) )
eventually the red room and the red room	F ( ( red_room ) & ( red_room ) )
eventually the green room and the red room	F ( ( green_room ) & ( red_room ) )
eventually the green room and the first floor	F ( ( green_room ) & ( first_floor ) )
always not the first floor	G ( ~ ( first_floor ) )
always not landmark one	G ( ~ ( landmark_1 ) )
always not the green room	G ( ~ ( green_room ) )
always not the red room	G ( ~ ( red_room ) )
always the first floor and the green room	G ( ( first_floor ) & ( green_room ) )
always the green room and the red room	G ( ( green_room ) & ( red_room ) )
always the red room and landmark one	G ( ( red_room ) & ( landmark_1 ) )
always the green room and the green room	G ( ( green_room ) & ( green_room ) )
always the green room and the first floor	G ( ( green_room ) & ( first_floor ) )
always landmark one and the red room	G ( ( landmark_1 ) & ( red_room ) )
always the red room and the red room	G ( ( red_room ) & ( red_room ) )
always the green room and landmark one	G ( ( green_room ) & ( landmark_1 ) )
always landmark one and the first floor	G ( ( landmark_1 ) & ( first_floor ) )
always landmark one and landmark one	G ( ( landmark_1 ) & ( landmark_1 ) )
always landmark one and the green room	G ( ( landmark_1 ) & ( green_room ) )
always the first floor and the first floor	G ( ( first_floor ) & ( first_floor ) )
always the red room and the green room	G ( ( red_room ) & ( green_room ) )
always the first floor and the red room	G ( ( first_floor ) & ( red_room ) )
always the red room and the first floor	G ( ( red_room ) & ( first_floor ) )
always the first floor and landmark one	G ( ( first_floor ) & ( landmark_1 ) )
not the red room until the first floor	( ~ ( red_room ) ) U ( first_floor )
not the first floor until the green room	( ~ ( first_floor ) ) U ( green_room )
not the red room until the red room	( ~ ( red_room ) ) U ( red_room )
not the first floor until landmark one	( ~ ( first_floor ) ) U ( landmark_1 )
not the green room until the first floor	( ~ ( green_room ) ) U ( first_floor )
not the red room until the green room	( ~ ( red_room ) ) U ( green_room )
not landmark one until landmark one	( ~ ( landmark_1 ) ) U ( landmark_1 )
not the first floor until the red room	( ~ ( first_floor ) ) U ( red_room )
not landmark one until the green room	( ~ ( landmark_1 ) ) U ( green_room )
not the green room until the green room	( ~ ( green_room ) ) U ( green_room )
not the green room until landmark one	( ~ ( green_room ) ) U ( landmark_1 )
not landmark one until the first floor	( ~ ( landmark_1 ) ) U ( first_floor )
not the red room until landmark one	( ~ ( red_room ) ) U ( landmark_1 )
not the first floor until the first floor	( ~ ( first_floor ) ) U ( first_floor )
not the green room until the red room	( ~ ( green_room ) ) U ( red_room )
not landmark one until the red room	( ~ ( landmark_1 ) ) U ( red_room )
landmark one until the green room until landmark one	( ( landmark_1 ) U ( green_room ) ) U ( landmark_1 )
the red room until the green room until the green room	( ( red_room ) U ( green_room ) ) U ( green_room )
landmark one until the red room until landmark one	( ( landmark_1 ) U ( red_room ) ) U ( landmark_1 )
the green room until the green room until the green room	( ( green_room ) U ( green_room ) ) U ( green_room )
landmark one until the green room until the red room	( ( landmark_1 ) U ( green_room ) ) U ( red_room )
the first floor until the green room until the first floor	( ( first_floor ) U ( green_room ) ) U ( first_floor )
the red room until the red room until the green room	( ( red_room ) U ( red_room ) ) U ( green_room )
the red room until landmark one until the red room	( ( red_room ) U ( landmark_1 ) ) U ( red_room )
the red room until the green room until the first floor	( ( red_room ) U ( green_room ) ) U ( first_floor )
the red room until the first floor until the green room	( ( red_room ) U ( first_floor ) ) U ( green_room )
landmark one until landmark one until the green room	( ( landmark_1 ) U ( landmark_1 ) ) U ( green_room )
the red room until the green room until the red room	( ( red_room ) U ( green_room ) ) U ( red_room )
landmark one until the first floor until landmark one	( ( landmark_1 ) U ( first_floor ) ) U ( landmark_1 )
